,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","      85 to 89 years",,    8610,,    3555,,    5060,,  482525,,  185535,,  296990,
"Age characteristics","      90 to 94 years",,    4140,,    1390,,    2755,,  223510,,   68675,,  154835,
"Age characteristics","      95 to 99 years",,    1215,,     300,,     920,,   56525,,   13240,,   43280,
"Age characteristics","      100 years and over",,     250,,      45,,     205,,    8230,,    1340,,    6890,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   11.2,,   11.9,,   10.5,,   16.6,,   17.3,,   15.9,
"Age characteristics","  15 to 64 years",,   73.4,,   73.8,,   73.0,,   66.5,,   67.1,,   66.0,
"Age characteristics","  65 years and over",,   15.5,,   14.3,,   16.5,,   16.9,,   15.6,,   18.1,
"Age characteristics","    85 years and over",,    2.3,,    1.7,,    2.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.6,,   40.8,,   42.3,,   41.0,,   40.1,,   41.9,
"Age characteristics","Median age of the population",,   39.9,,   39.0,,   40.7,,   41.2,,   40.2,,   42.2,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  283915,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   41330,,,...,,..., 7541495,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   83250,,,...,,..., 1391040,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,  159310,,,...,,..., 4949795,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    4480,,,...,,...,  698800,,,...,,...
"Household and dwelling characteristics","    Row house",,    9845,,,...,,...,  891305,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   52970,,,...,,...,  784300,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   91385,,,...,,..., 2539390,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     635,,,...,,...,   36005,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,      25,,,...,,...,  189755,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  283920,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  1 person",,  110020,,,...,,..., 3969790,,,...,,...
"Household and dwelling characteristics","  2 persons",,   90450,,,...,,..., 4834605,,,...,,...
"Household and dwelling characteristics","  3 persons",,   36885,,,...,,..., 2140640,,,...,,...
"Household and dwelling characteristics","  4 persons",,   28780,,,...,,..., 1946275,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   17780,,,...,,..., 1180770,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  618210,,,...,,...,34460060,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.2,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  560955,,  271875,,  289080,,29312160,,14271280,,15040885,
"Marital status","  Married or living common law",,  282585,,  141450,,  141135,,16893720,, 8452135,, 8441585,
"Marital status","    Married",,  224800,,  111755,,  113045,,13383455,, 6693465,, 6689990,
"Marital status","    Living common law",,   57785,,   29695,,   28090,, 3510265,, 1758670,, 1751590,
"Marital status","  Not married and not living common law",,  278370,,  130425,,  147945,,12418440,, 5819140,, 6599300,
"Marital status","    Never married",,  203550,,  106195,,   97355,, 8254340,, 4444425,, 3809915,
"Marital status","    Separated",,   12790,,    5330,,    7460,,  718295,,  309905,,  408400,
"Marital status","    Divorced",,   37150,,   14245,,   22900,, 1816005,,  725535,, 1090470,
"Marital status","    Widowed",,   24880,,    4655,,   20225,, 1629800,,  339280,, 1290525,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  160855,,,...,,..., 9840730,,,...,,...
"Family characteristics","  2 persons",,   88590,,,...,,..., 5007790,,,...,,...
"Family characteristics","  3 persons",,   35480,,,...,,..., 2107830,,,...,,...
"Family characteristics","  4 persons",,   28685,,,...,,..., 1909935,,,...,,...
"Family characteristics","  5 or more persons",,    8105,,,...,,...,  815170,,,...,,...
"Family characteristics","Average size of census families",,    2.7,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  160855,,,...,,..., 9840730,,,...,,...
"Family characteristics","  Total couple families",,  135215,,,...,,..., 8227925,,,...,,...
"Family characteristics","    Married couples",,  106325,,,...,,..., 6474005,,,...,,...
"Family characteristics","    Common-law couples",,   28890,,,...,,..., 1753920,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   25645,,,...,,..., 1612805,,,...,,...
"Family characteristics","    Female parent",,   21090,,,...,,..., 1262340,,,...,,...
"Family characteristics","    Male parent",,    4550,,,...,,...,  350465,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  135215,,,...,,..., 8227925,,,...,,...
"Family characteristics","  Couples without children",,   71270,,,...,,..., 4024305,,,...,,...
"Family characteristics","  Couples with children",,   63945,,,...,,..., 4203615,,,...,,...
"Family characteristics","    1 child",,   28895,,,...,,..., 1650165,,,...,,...
"Family characteristics","    2 children",,   27250,,,...,,..., 1783080,,,...,,...
"Family characteristics","    3 or more children",,    7805,,,...,,...,  770375,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   25640,,,...,,..., 1612805,,,...,,...
"Family characteristics","  1 child",,   17315,,,...,,...,  983485,,,...,,...
"Family characteristics","  2 children",,    6590,,,...,,...,  457670,,,...,,...
"Family characteristics","  3 or more children",,    1740,,,...,,...,  171655,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  177510,,   84480,,   93030,, 6107260,, 2941395,, 3165865,
"Household type","Total - Private households by household type - 100% data",12,  283915,,,...,,...,14072075,,,...,,...
"Household type","  One-census-family households",,  146025,,,...,,..., 9218225,,,...,,...
"Household type","    Without children in a census family",13,   65040,,,...,,..., 3782095,,,...,,...
"Household type","    With children in a census family",14,   80985,,,...,,..., 5436135,,,...,,...
"Household type","  Multiple-census-family households",,    7145,,,...,,...,  301715,,,...,,...
"Household type","  Non-census-family households",,  130745,,,...,,..., 4552135,,,...,,...
"Household type","    One-person households",,  110020,,,...,,..., 3969790,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   20720,,,...,,...,  582350,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  622630,,  304235,,  318400,,34767255,,17101170,,17666080,
"Knowledge of official languages","  English only",,  518180,,  258795,,  259385,,23757525,,11838075,,11919455,
"Knowledge of official languages","  French only",,     375,,     180,,     195,, 4144685,, 1925845,, 2218840,
"Knowledge of official languages","  English and French",,   61710,,   27980,,   33730,, 6216065,, 3071325,, 3144740,
"Knowledge of official languages","  Neither English nor French",,   42370,,   17275,,   25095,,  648970,,  265920,,  383045,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  622635,,  304235,,  318400,,34767250,,17101165,,17666085,
"First official language spoken","  English",,  566940,,  280310,,  286635,,26007500,,12852330,,13155165,
"First official language spoken","  French",,    9950,,    5125,,    4825,, 7705755,, 3780105,, 3925650,
"First official language spoken","  English and French",,    3805,,    1735,,    2070,,  417485,,  209130,,  208355,
"First official language spoken","  Neither English nor French",,   41935,,   17070,,   24870,,  636515,,  259600,,  376910,
"First official language spoken","Official language minority (number)",17,   11855,,    5990,,    5860,, 7914495,, 3884670,, 4029825,
"First official language spoken","Official language minority (percentage)",17,    1.9,,    2.0,,    1.8,,   22.8,,   22.7,,   22.8,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  622635,,  304235,,  318400,,34767255,,17101170,,17666085,
"Mother tongue","  Single responses",,  602805,,  294900,,  307900,,33948620,,16702840,,17245775,
"Mother tongue","    Official languages",,  328595,,  170085,,  158510,,26627555,,13201620,,13425940,
"Mother tongue","      English",,  319115,,  165150,,  153965,,19460850,, 9680125,, 9780725,
"Mother tongue","      French",,    9480,,    4940,,    4550,, 7166705,, 3521495,, 3645215,
"Mother tongue","    Non-official languages",,  274210,,  124820,,  149390,, 7321065,, 3501220,, 3819840,
"Mother tongue","      Aboriginal languages",,     455,,     230,,     230,,  195700,,   94795,,  100900,
"Mother tongue","        Algonquian languages",,     170,,      90,,      85,,  130450,,   62930,,   67520,
"Mother tongue","          Blackfoot",,      15,,       5,,      10,,    2815,,    1325,,    1490,
"Mother tongue","          Cree-Montagnais languages",,     125,,      65,,      55,,   88445,,   42920,,   45530,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,   10230,,    4885,,    5350,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,     100,,      50,,      55,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,    1205,,     590,,     620,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,     315,,     125,,     190,
"Mother tongue","            Plains Cree",,      20,,      10,,      10,,    3065,,    1360,,    1710,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","            Swampy Cree",,       5,,       5,,       0,,    1440,,     585,,     850,
"Mother tongue","            Woods Cree",,      10,,       5,,       0,,    1840,,     865,,     975,
"Mother tongue","            Cree; n.o.s.",,      95,,      45,,      40,,   64050,,   31305,,   32745,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,    6990,,    3310,,    3680,
"Mother tongue","            Malecite",,       0,,       0,,       0,,     305,,     140,,     160,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       5,,    6690,,    3170,,    3520,
"Mother tongue","          Ojibway-Potawatomi languages",,      30,,      15,,      15,,   32150,,   15350,,   16800,
"Mother tongue","            Algonquin",,       5,,       0,,       0,,    1260,,     590,,     670,
"Mother tongue","            Ojibway",,      30,,      15,,      15,,   17890,,    8440,,    9450,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,   12855,,    6260,,    6595,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     150,,      65,,      85,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","        Athabaskan languages",,      65,,      30,,      30,,   17365,,    8325,,    9045,
"Mother tongue","          Northern Athabaskan languages",,      60,,      35,,      30,,   17315,,    8310,,    9010,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      60,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     190,,      85,,     105,
"Mother tongue","            Carrier",,      25,,      10,,      15,,    1025,,     465,,     565,
"Mother tongue","            Chilcotin",,      20,,      10,,      10,,     660,,     295,,     360,
"Mother tongue","            Dene",,       5,,       0,,       5,,   10700,,    5185,,    5515,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,    1645,,     840,,     815,
"Mother tongue","            Gwich'in",,      10,,       5,,       5,,     260,,     110,,     145,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      80,,      25,,      50,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      90,,      45,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,    1995,,     950,,    1045,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,     765,,     365,,     400,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,     945,,     455,,     495,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,     280,,     130,,     150,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     270,,     135,,     140,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,     180,,      90,,      90,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      95,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,     290,,     120,,     170,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,     215,,      90,,     135,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","          Athabaskan languages; n.i.e.",,       5,,       0,,       0,,      50,,      20,,      35,
"Mother tongue","        Haida",,      10,,      10,,       0,,      75,,      35,,      40,
"Mother tongue","        Inuit languages",,       5,,       0,,       5,,   36545,,   18100,,   18445,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,    1025,,     445,,     575,
"Mother tongue","          Inuktitut",,       0,,       0,,       5,,   35215,,   17530,,   17680,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,     315,,     125,,     185,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,    1115,,     485,,     635,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      45,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     980,,     430,,     555,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      20,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      35,,      15,,      20,
"Mother tongue","        Kutenai",,       5,,       5,,       0,,     105,,      55,,      55,
"Mother tongue","        Michif",,       5,,       0,,       5,,     465,,     230,,     235,
"Mother tongue","        Salish languages",,      35,,      15,,      20,,    2305,,    1130,,    1180,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     225,,     245,
"Mother tongue","          Lillooet",,       5,,       0,,       0,,     315,,     155,,     155,
"Mother tongue","          Okanagan",,       5,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,      10,,       5,,       5,,     445,,     225,,     220,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       5,,       5,,       0,,     335,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,      15,,       5,,      15,,     255,,     135,,     125,
"Mother tongue","        Siouan languages",,      20,,      10,,      10,,    4285,,    2070,,    2220,
"Mother tongue","          Dakota",,      15,,      10,,      10,,    1215,,     570,,     635,
"Mother tongue","          Stoney",,       0,,       0,,       0,,    3025,,    1465,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,       5,,       5,,       0,,      55,,      30,,      25,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","        Tsimshian languages",,      70,,      30,,      35,,    1480,,     730,,     755,
"Mother tongue","          Gitxsan (Gitksan)",,      35,,      15,,      20,,     880,,     435,,     445,
"Mother tongue","          Nisga'a",,      20,,      10,,      10,,     400,,     200,,     200,
"Mother tongue","          Tsimshian",,      15,,       5,,      10,,     200,,      90,,     110,
"Mother tongue","        Wakashan languages",,      40,,      15,,      25,,     805,,     370,,     435,
"Mother tongue","          Haisla",,       5,,       5,,       5,,      90,,      40,,      50,
"Mother tongue","          Heiltsuk",,      10,,       5,,      10,,      95,,      40,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,      10,,       5,,       5,,     325,,     145,,     185,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,      10,,       5,,       0,,     285,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      30,,      15,,      15,,     585,,     295,,     295,
"Mother tongue","      Non-Aboriginal languages",,  273755,,  124590,,  149165,, 7125365,, 3406425,, 3718945,
"Mother tongue","        Afro-Asiatic languages",,    4305,,    2465,,    1840,,  575365,,  298060,,  277300,
"Mother tongue","          Berber languages",,      25,,      20,,       5,,   22135,,   11865,,   10270,
"Mother tongue","            Kabyle",,       5,,       5,,       0,,   13150,,    6995,,    6155,
"Mother tongue","            Berber languages; n.i.e.",,      20,,      15,,       5,,    8985,,    4865,,    4115,
"Mother tongue","          Cushitic languages",,     205,,     120,,      90,,   42885,,   20095,,   22790,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     805,,     455,,     350,
"Mother tongue","            Oromo",,      75,,      45,,      35,,    4960,,    2560,,    2400,
"Mother tongue","            Somali",,     125,,      70,,      55,,   36755,,   16895,,   19865,
"Mother tongue","            Cushitic languages; n.i.e.",,       5,,       0,,       0,,     365,,     195,,     170,
"Mother tongue","          Semitic languages",,    4065,,    2320,,    1740,,  509190,,  265465,,  243725,
"Mother tongue","            Amharic",,     305,,     150,,     145,,   22465,,   10720,,   11745,
"Mother tongue","            Arabic",,    2485,,    1505,,     980,,  419890,,  220785,,  199105,
"Mother tongue","            Assyrian Neo-Aramaic",,      70,,      35,,      35,,   16070,,    7910,,    8160,
"Mother tongue","            Chaldean Neo-Aramaic",,      15,,       5,,      10,,    5545,,    2780,,    2770,
"Mother tongue","            Harari",,       5,,       5,,       5,,    1320,,     635,,     685,
"Mother tongue","            Hebrew",,    1050,,     555,,     500,,   19530,,   10480,,    9045,
"Mother tongue","            Maltese",,      15,,      10,,       5,,    5565,,    2765,,    2800,
"Mother tongue","            Tigrigna",,     120,,      55,,      65,,   16650,,    8310,,    8340,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       5,,       0,,    2155,,    1085,,    1070,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      10,,      10,,       5,,    1155,,     635,,     520,
"Mother tongue","        Austro-Asiatic languages",,   10935,,    5010,,    5930,,  176725,,   81810,,   94920,
"Mother tongue","          Khmer (Cambodian)",,     295,,     130,,     165,,   20130,,    9270,,   10860,
"Mother tongue","          Vietnamese",,   10620,,    4860,,    5750,,  156425,,   72470,,   83955,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      25,,      15,,      10,,     170,,      65,,     100,
"Mother tongue","        Austronesian languages",,   24470,,    9665,,   14805,,  511480,,  211580,,  299900,
"Mother tongue","          Bikol",,     100,,      40,,      60,,    1790,,     790,,    1000,
"Mother tongue","          Cebuano",,     880,,     310,,     570,,   19890,,    7930,,   11960,
"Mother tongue","          Fijian",,      45,,      20,,      25,,     745,,     400,,     345,
"Mother tongue","          Hiligaynon",,     455,,     165,,     290,,    6885,,    2680,,    4205,
"Mother tongue","          Ilocano",,    1900,,     745,,    1155,,   26345,,   10620,,   15720,
"Mother tongue","          Malagasy",,       5,,       5,,       5,,    1430,,     665,,     760,
"Mother tongue","          Malay",,     960,,     440,,     525,,   12275,,    5255,,    7020,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     200,,      95,,     105,,    4040,,    1865,,    2175,
"Mother tongue","          Pangasinan",,      95,,      45,,      50,,    1390,,     590,,     800,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   19435,,    7630,,   11800,,  431380,,  178575,,  252810,
"Mother tongue","          Waray-Waray",,      50,,      25,,      25,,    1110,,     430,,     675,
"Mother tongue","          Austronesian languages; n.i.e.",,     345,,     155,,     195,,    4195,,    1770,,    2425,
"Mother tongue","        Creole languages",,     100,,      50,,      50,,   72125,,   32310,,   39820,
"Mother tongue","          Haitian Creole",,       0,,       0,,       5,,    3030,,    1445,,    1590,
"Mother tongue","          Creole; n.o.s.",,      60,,      30,,      35,,   64105,,   28455,,   35660,
"Mother tongue","          Creole languages; n.i.e.",,      35,,      20,,      15,,    4985,,    2410,,    2575,
"Mother tongue","        Dravidian languages",,    2020,,    1145,,     880,,  189405,,   94765,,   94640,
"Mother tongue","          Kannada",,      50,,      35,,      20,,    3970,,    2040,,    1935,
"Mother tongue","          Malayalam",,     340,,     185,,     150,,   28570,,   14770,,   13800,
"Mother tongue","          Tamil",,    1330,,     715,,     620,,  140720,,   69080,,   71640,
"Mother tongue","          Telugu",,     290,,     210,,      80,,   15655,,    8640,,    7020,
"Mother tongue","          Dravidian languages; n.i.e.",,      15,,       5,,       5,,     490,,     240,,     250,
"Mother tongue","        Hmong-Mien languages",,      10,,       5,,      10,,     795,,     395,,     405,
"Mother tongue","        Indo-European languages",,   78130,,   38030,,   40100,, 3877330,, 1889400,, 1987930,
"Mother tongue","          Albanian",,     135,,      70,,      60,,   26890,,   13610,,   13285,
"Mother tongue","          Armenian",,     340,,     160,,     180,,   33455,,   16270,,   17185,
"Mother tongue","          Balto-Slavic languages",,   14740,,    6665,,    8075,,  701975,,  323640,,  378340,
"Mother tongue","            Baltic languages",,     265,,     100,,     160,,   12530,,    5315,,    7215,
"Mother tongue","              Latvian",,     120,,      50,,      70,,    5455,,    2350,,    3105,
"Mother tongue","              Lithuanian",,     140,,      45,,      95,,    7075,,    2965,,    4115,
"Mother tongue","            Slavic languages",,   14475,,    6565,,    7910,,  689450,,  318325,,  371115,
"Mother tongue","              Belarusan",,      15,,      10,,       5,,     810,,     385,,     430,
"Mother tongue","              Bosnian",,     235,,     110,,     125,,   12210,,    6035,,    6180,
"Mother tongue","              Bulgarian",,     465,,     205,,     255,,   20025,,    9675,,   10345,
"Mother tongue","              Croatian",,    1250,,     580,,     675,,   48200,,   23540,,   24665,
"Mother tongue","              Czech",,    1000,,     485,,     515,,   22290,,   10525,,   11765,
"Mother tongue","              Macedonian",,      80,,      35,,      45,,   16775,,    8050,,    8725,
"Mother tongue","              Polish",,    2720,,    1225,,    1495,,  181710,,   82435,,   99275,
"Mother tongue","              Russian",,    4450,,    1910,,    2535,,  188255,,   85400,,  102855,
"Mother tongue","              Serbian",,    2125,,    1050,,    1075,,   57350,,   28535,,   28815,
"Mother tongue","              Serbo-Croatian",,     490,,     230,,     260,,    9555,,    4565,,    4985,
"Mother tongue","              Slovak",,     600,,     270,,     330,,   17580,,    8075,,    9510,
"Mother tongue","              Slovene (Slovenian)",,     145,,      70,,      75,,    9790,,    4415,,    5370,
"Mother tongue","              Ukrainian",,     870,,     370,,     500,,  102485,,   45440,,   57040,
"Mother tongue","              Slavic languages; n.i.e.",,      40,,      25,,      15,,    2415,,    1255,,    1165,
"Mother tongue","          Celtic languages",,     120,,      80,,      40,,    2690,,    1335,,    1360,
"Mother tongue","            Scottish Gaelic",,      35,,      25,,      10,,    1090,,     540,,     550,
"Mother tongue","            Welsh",,      40,,      25,,      20,,    1075,,     495,,     575,
"Mother tongue","            Celtic languages; n.i.e.",,      40,,      30,,      15,,     530,,     295,,     235,
"Mother tongue","          Germanic languages",,    9005,,    4340,,    4665,,  538765,,  258410,,  280350,
"Mother tongue","            Afrikaans",,     270,,     155,,     115,,   10265,,    5115,,    5145,
"Mother tongue","            Danish",,     400,,     195,,     200,,   12630,,    6245,,    6390,
"Mother tongue","            Dutch",,    1360,,     685,,     675,,   99020,,   48200,,   50820,
"Mother tongue","            Frisian",,       5,,       0,,       5,,    2100,,    1095,,    1005,
"Mother tongue","            German",,    6075,,    2875,,    3205,,  384035,,  183215,,  200820,
"Mother tongue","            Icelandic",,      70,,      35,,      40,,    1285,,     600,,     685,
"Mother tongue","            Norwegian",,     180,,      85,,      95,,    4615,,    2170,,    2445,
"Mother tongue","            Swedish",,     430,,     195,,     235,,    6840,,    3015,,    3825,
"Mother tongue","            Vlaams (Flemish)",,      60,,      40,,      20,,    3895,,    1730,,    2165,
"Mother tongue","            Yiddish",,     145,,      70,,      75,,   13555,,    6750,,    6800,
"Mother tongue","            Germanic languages; n.i.e.",,      10,,       5,,      10,,     525,,     280,,     240,
"Mother tongue","          Greek",,    2160,,    1080,,    1075,,  106525,,   53350,,   53170,
"Mother tongue","          Indo-Iranian languages",,   28905,,   14405,,   14500,, 1312750,,  664120,,  648630,
"Mother tongue","            Indo-Aryan languages",,   20600,,   10195,,   10405,, 1064760,,  538530,,  526235,
"Mother tongue","              Bengali",,     935,,     485,,     445,,   73125,,   37410,,   35720,
"Mother tongue","              Gujarati",,     935,,     450,,     490,,  108780,,   55105,,   53670,
"Mother tongue","              Hindi",,    3680,,    1830,,    1850,,  110640,,   55880,,   54765,
"Mother tongue","              Kashmiri",,      10,,       5,,       0,,     565,,     300,,     265,
"Mother tongue","              Konkani",,      45,,      25,,      25,,    3330,,    1625,,    1710,
"Mother tongue","              Marathi",,     120,,      70,,      50,,    8295,,    4300,,    3995,
"Mother tongue","              Nepali",,     175,,     105,,      70,,   18275,,    9230,,    9045,
"Mother tongue","              Oriya (Odia)",,      20,,      15,,       5,,    1055,,     560,,     495,
"Mother tongue","              Punjabi (Panjabi)",,   13385,,    6520,,    6860,,  501680,,  253515,,  248160,
"Mother tongue","              Sindhi",,     230,,     115,,     115,,   11860,,    5605,,    6260,
"Mother tongue","              Sinhala (Sinhalese)",,     210,,     110,,     105,,   16335,,    8050,,    8285,
