"Census Profile, 2021 Census of Population"
,,,"Vancouver, City (CY) [Census subdivision], British Columbia",,,,,,
"Family characteristics","      In a two-parent family",,106565,"", 56110,"", 50460,"",
"Family characteristics","      In a one-parent family",, 36235,"", 19450,"", 16780,"",
"Family characteristics","  Total - Persons not in census families in private households - 100% data",,196325,"", 93590,"",102735,"",
"Family characteristics","    Living alone",,119805,"", 56365,"", 63440,"",
"Family characteristics","    Living with other relatives",7, 19650,"",  7505,"", 12145,"",
"Family characteristics","    Living with non-relatives only",, 56870,"", 29725,"", 27150,"",
"Household type","Total - Household type - 100% data",,305335,"",,"...",,"...",
"Household type","  One-census-family households without additional persons",,142375,"",,"...",,"...",
"Household type","    Couple-family households",,122210,"",,"...",,"...",
"Household type","      With children",6, 53125,"",,"...",,"...",
"Household type","      Without children",, 69085,"",,"...",,"...",
"Household type","    One-parent-family households",, 20160,"",,"...",,"...",
"Household type","  Multigenerational households",8,  8260,"",,"...",,"...",
"Household type","  Multiple-census-family households",9,  2030,"",,"...",,"...",
"Household type","  One-census-family households with additional persons",9,  9045,"",,"...",,"...",
"Household type","  Two-or-more-person non-census-family households ",, 23825,"",,"...",,"...",
"Household type","  One-person households",,119805,"",,"...",,"...",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data",10,580010,"",281450,"",298560,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data",,563730,"",273475,"",290250,"",
"Income of individuals in 2020","    Median total income in 2020 among recipients ($)",, 42000,"", 45600,"", 39200,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data",,564040,"",273650,"",290390,"",
"Income of individuals in 2020","    Median after-tax income in 2020 among recipients ($)",, 38000,"", 40800,"", 36000,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data",,508185,"",247130,"",261055,"",
"Income of individuals in 2020","    Median market income in 2020 among recipients ($)",, 38800,"", 44800,"", 34000,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data",,415915,"",207825,"",208085,"",
"Income of individuals in 2020","    Median employment income in 2020 among recipients ($)",, 41200,"", 46400,"", 36400,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data",,454870,"",209135,"",245735,"",
"Income of individuals in 2020","    Median government transfers in 2020 among recipients ($)",,  8200,"",  7900,"",  8500,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data",, 49505,"", 22375,"", 27125,"",
"Income of individuals in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5480,"",  5520,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data",,170155,"", 82630,"", 87525,"",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9500,"",  9000,"",  9500,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,580010,"",281355,"",298655,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,563600,"",273300,"",290295,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 62250,"", 71700,"", 53350,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,563910,"",273480,"",290425,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 50080,"", 56050,"", 44520,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,508140,"",246985,"",261155,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 60150,"", 71200,"", 49720,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",,415915,"",208040,"",207875,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 58700,"", 68400,"", 48960,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",,454215,"",208415,"",245800,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",,  9940,"",  9620,"", 10220,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 49585,"", 22205,"", 27380,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6410,"",  5835,"",  6880,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,169180,"", 82150,"", 87035,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9610,"",  9600,"",  9620,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12,580010,"",281355,"",298660,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13,192635,"",104825,"", 87805,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 69500,"", 74500,"", 64500,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 90200,"",101400,"", 76700,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16,173660,"", 79770,"", 93895,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 20200,"", 21800,"", 19000,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 33400,"", 37080,"", 30280,"",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   87.2,"",   89.8,"",   83.8,"",
"Income of individuals in 2020","    Employment income (%)",19,   69.6,"",   72.6,"",   65.6,"",
"Income of individuals in 2020","  Government transfers (%)",20,   12.9,"",   10.2,"",   16.2,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    0.9,"",    0.7,"",    1.2,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    5.6,"",    4.7,"",    6.6,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    4.6,"",    4.0,"",    5.4,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21,580010,"",281455,"",298560,"",
"Income of individuals in 2020","  Without total income",, 16285,"",  7975,"",  8305,"",
"Income of individuals in 2020","  With total income",,563730,"",273475,"",290255,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 55370,"", 25295,"", 30075,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 61180,"", 28340,"", 32835,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 86405,"", 38360,"", 48045,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 67875,"", 30530,"", 37345,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 55555,"", 25140,"", 30420,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 46055,"", 20965,"", 25095,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 37150,"", 18060,"", 19085,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 30195,"", 15230,"", 14965,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 24045,"", 12365,"", 11675,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 19545,"", 10140,"",  9405,"",
"Income of individuals in 2020","    $100,000 and over",, 80345,"", 49040,"", 31310,"",
"Income of individuals in 2020","      $100,000 to $149,999",, 46155,"", 26435,"", 19725,"",
"Income of individuals in 2020","      $150,000 and over",, 34195,"", 22605,"", 11585,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22,580010,"",281455,"",298560,"",
"Income of individuals in 2020","  Without after-tax income",, 15975,"",  7800,"",  8170,"",
"Income of individuals in 2020","  With after-tax income",,564035,"",273650,"",290385,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 57995,"", 26550,"", 31445,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 63245,"", 29355,"", 33890,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 97585,"", 43580,"", 54000,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 77280,"", 35020,"", 42265,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 63640,"", 28995,"", 34650,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 50160,"", 23985,"", 26170,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 38210,"", 19210,"", 18995,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 29320,"", 15255,"", 14070,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 21470,"", 11310,"", 10165,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 14965,"",  8400,"",  6570,"",
"Income of individuals in 2020","    $100,000 and over",, 50165,"", 32000,"", 18165,"",
"Income of individuals in 2020","      $100,000 to $124,999",, 21515,"", 13030,"",  8490,"",
"Income of individuals in 2020","      $125,000 and over",, 28645,"", 18970,"",  9670,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19,580010,"",281455,"",298560,"",
"Income of individuals in 2020","  Without employment income",,164095,"", 73625,"", 90470,"",
"Income of individuals in 2020","  With employment income",,415915,"",207825,"",208090,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",, 51110,"", 23615,"", 27495,"",
"Income of individuals in 2020","    $5,000 to $9,999",, 33650,"", 15005,"", 18650,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 48115,"", 21800,"", 26315,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 36415,"", 16885,"", 19535,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 34295,"", 16015,"", 18285,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 34220,"", 16115,"", 18105,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 32385,"", 15285,"", 17100,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 27390,"", 13915,"", 13475,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 22615,"", 11835,"", 10775,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 19180,"", 10170,"",  9010,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 15870,"",  8395,"",  7475,"",
"Income of individuals in 2020","    $100,000 and over",, 60670,"", 38800,"", 21870,"",
"Income of individuals in 2020","      $100,000 to $124,999",, 23930,"", 13870,"", 10065,"",
"Income of individuals in 2020","      $125,000 and over",, 36740,"", 24935,"", 11810,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23,580010,"",281450,"",298560,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",,545310,"",263635,"",281675,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 39200,"", 43600,"", 35600,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data",,546235,"",263895,"",282350,"",
"Income of individuals in 2019","    Median after-tax income in 2019 among recipients ($)",, 35200,"", 38400,"", 32400,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data",,499605,"",242560,"",257045,"",
"Income of individuals in 2019","    Median market income in 2019 among recipients ($)",, 39600,"", 45200,"", 35200,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data",,418280,"",207555,"",210730,"",
"Income of individuals in 2019","    Median employment income in 2019 among recipients ($)",, 40400,"", 45600,"", 36000,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data",,356615,"",156025,"",200590,"",
"Income of individuals in 2019","    Median government transfers in 2019 among recipients ($)",,  1680,"",  1140,"",  2300,"",
"Income of individuals in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data",, 25265,"", 10865,"", 14400,"",
"Income of individuals in 2019","    Median employment insurance benefits in 2019 among recipients ($)",,  5640,"",  4960,"",  6320,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",24,580010,"",281355,"",298655,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data",,544950,"",263290,"",281655,"",
"Income of individuals in 2019","    Average total income in 2019 among recipients ($)",, 59550,"", 69400,"", 50400,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data",,545825,"",263560,"",282260,"",
"Income of individuals in 2019","    Average after-tax income in 2019 among recipients ($)",, 47800,"", 54250,"", 41760,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data",,499235,"",242210,"",257020,"",
"Income of individuals in 2019","    Average market income in 2019 among recipients ($)",, 60450,"", 71500,"", 50000,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data",,418215,"",207730,"",210490,"",
"Income of individuals in 2019","    Average employment income in 2019 among recipients ($)",, 56800,"", 66600,"", 47160,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data",,356225,"",155625,"",200600,"",
"Income of individuals in 2019","    Average government transfers in 2019 among recipients ($)",,  6420,"",  6050,"",  6700,"",
"Income of individuals in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data",, 25615,"", 10960,"", 14660,"",
"Income of individuals in 2019","    Average employment insurance benefits in 2019 among recipients ($)",,  7390,"",  6135,"",  8320,"",
"Income of individuals in 2019","Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",25,580010,"",281355,"",298660,"",
"Income of individuals in 2019","  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data",13,189135,"",102835,"", 86300,"",
"Income of individuals in 2019","    Median employment income in 2019 for full-year full-time workers in 2020 ($)",14, 63200,"", 68500,"", 58400,"",
"Income of individuals in 2019","    Average employment income in 2019 for full-year full-time workers in 2020 ($)",15, 82600,"", 93600,"", 69500,"",
"Income of individuals in 2019","  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data",16,162990,"", 74715,"", 88275,"",
"Income of individuals in 2019","    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 26800,"", 29200,"", 25000,"",
"Income of individuals in 2019","    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 39840,"", 45040,"", 35480,"",
"Income of individuals in 2019","Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data",,  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Market income (%)",,   93.0,"",   94.8,"",   90.6,"",
"Income of individuals in 2019","    Employment income (%)",,   73.2,"",   75.8,"",   70.0,"",
"Income of individuals in 2019","  Government transfers (%)",,    7.0,"",    5.2,"",    9.5,"",
"Income of individuals in 2019","    Employment insurance benefits (%)",,    0.6,"",    0.4,"",    0.9,"",
"Income of households in 2020","Total - Income statistics for private households - 100% data",26,305335,"",,"...",,"...",
"Income of households in 2020","  Median total income of household in 2020 ($)",, 82000,"",,"...",,"...",
"Income of households in 2020","  Median after-tax income of household in 2020 ($)",, 72000,"",,"...",,"...",
"Income of households in 2020","    Total - Income statistics for one-person private households - 100% data",,119805,"",,"...",,"...",
"Income of households in 2020","      Median total income of one-person households in 2020 ($)",, 46400,"",,"...",,"...",
"Income of households in 2020","      Median after-tax income of one-person households in 2020 ($)",, 41600,"",,"...",,"...",
"Income of households in 2020","    Total - Income statistics for two-or-more-persons private households - 100% data",,185530,"",,"...",,"...",
"Income of households in 2020","      Median total income of two-or-more-person households in 2020 ($)",,112000,"",,"...",,"...",
"Income of households in 2020","      Median after-tax income of two-or-more-person households in 2020 ($)",, 99000,"",,"...",,"...",
"Income of households in 2020","Total - Income statistics for private households - 25% sample data",27,305335,"",,"...",,"...",
"Income of households in 2020","  Average total income of household in 2020 ($)",,114900,"",,"...",,"...",
"Income of households in 2020","  Average after-tax income of household in 2020 ($)",, 92500,"",,"...",,"...",
"Income of households in 2020","    Total - Income statistics for one-person private households - 25% sample data",,119745,"",,"...",,"...",
"Income of households in 2020","      Average total income of one-person households in 2020 ($)",, 63300,"",,"...",,"...",
"Income of households in 2020","      Average after-tax income of one-person households in 2020 ($)",, 51200,"",,"...",,"...",
"Income of households in 2020","    Total - Income statistics for two-or-more-persons private households - 25% sample data",,185595,"",,"...",,"...",
"Income of households in 2020","      Average total income of two-or-more-person households in 2020 ($)",,148200,"",,"...",,"...",
"Income of households in 2020","      Average after-tax income of two-or-more-person households in 2020 ($)",,119200,"",,"...",,"...",
"Income of households in 2020","Total - Household total income groups in 2020 for private households - 100% data",21,305335,"",,"...",,"...",
"Income of households in 2020","  Under $5,000",,  7260,"",,"...",,"...",
"Income of households in 2020","  $5,000 to $9,999",,  2990,"",,"...",,"...",
"Income of households in 2020","  $10,000 to $14,999",,  4025,"",,"...",,"...",
"Income of households in 2020","  $15,000 to $19,999",,  8210,"",,"...",,"...",
"Income of households in 2020","  $20,000 to $24,999",, 14595,"",,"...",,"...",
"Income of households in 2020","  $25,000 to $29,999",, 10570,"",,"...",,"...",
"Income of households in 2020","  $30,000 to $34,999",, 10515,"",,"...",,"...",
"Income of households in 2020","  $35,000 to $39,999",, 11620,"",,"...",,"...",
"Income of households in 2020","  $40,000 to $44,999",, 10450,"",,"...",,"...",
"Income of households in 2020","  $45,000 to $49,999",, 10315,"",,"...",,"...",
"Income of households in 2020","  $50,000 to $59,999",, 20760,"",,"...",,"...",
"Income of households in 2020","  $60,000 to $69,999",, 19740,"",,"...",,"...",
"Income of households in 2020","  $70,000 to $79,999",, 18775,"",,"...",,"...",
"Income of households in 2020","  $80,000 to $89,999",, 17225,"",,"...",,"...",
"Income of households in 2020","  $90,000 to $99,999",, 15485,"",,"...",,"...",
"Income of households in 2020","  $100,000 and over",,122810,"",,"...",,"...",
"Income of households in 2020","    $100,000 to $124,999",, 31225,"",,"...",,"...",
"Income of households in 2020","    $125,000 to $149,999",, 23270,"",,"...",,"...",
"Income of households in 2020","    $150,000 to $199,999",, 29850,"",,"...",,"...",
"Income of households in 2020","    $200,000 and over",, 38465,"",,"...",,"...",
"Income of households in 2020","Total - Household after-tax income groups in 2020 for private households - 100% data",22,305335,"",,"...",,"...",
"Income of households in 2020","  Under $5,000",,  8305,"",,"...",,"...",
"Income of households in 2020","  $5,000 to $9,999",,  3055,"",,"...",,"...",
"Income of households in 2020","  $10,000 to $14,999",,  4095,"",,"...",,"...",
"Income of households in 2020","  $15,000 to $19,999",,  8565,"",,"...",,"...",
"Income of households in 2020","  $20,000 to $24,999",, 15495,"",,"...",,"...",
"Income of households in 2020","  $25,000 to $29,999",, 12065,"",,"...",,"...",
"Income of households in 2020","  $30,000 to $34,999",, 12080,"",,"...",,"...",
"Income of households in 2020","  $35,000 to $39,999",, 13130,"",,"...",,"...",
"Income of households in 2020","  $40,000 to $44,999",, 12385,"",,"...",,"...",
"Income of households in 2020","  $45,000 to $49,999",, 12390,"",,"...",,"...",
"Income of households in 2020","  $50,000 to $59,999",, 24430,"",,"...",,"...",
"Income of households in 2020","  $60,000 to $69,999",, 22815,"",,"...",,"...",
"Income of households in 2020","  $70,000 to $79,999",, 20975,"",,"...",,"...",
"Income of households in 2020","  $80,000 to $89,999",, 18315,"",,"...",,"...",
"Income of households in 2020","  $90,000 to $99,999",, 15955,"",,"...",,"...",
"Income of households in 2020","  $100,000 and over",,101285,"",,"...",,"...",
"Income of households in 2020","    $100,000 to $124,999",, 31545,"",,"...",,"...",
"Income of households in 2020","    $125,000 to $149,999",, 22240,"",,"...",,"...",
"Income of households in 2020","    $150,000 and over",, 47500,"",,"...",,"...",
"Income of economic families in 2020","Total - Income statistics for economic families in private households - 100% data",28,167155,"",,"...",,"...",
"Income of economic families in 2020","  Median total income of economic family in 2020 ($)",,113000,"",,"...",,"...",
"Income of economic families in 2020","  Median after-tax income of economic family in 2020 ($)",, 99000,"",,"...",,"...",
"Income of economic families in 2020","  Average family size of economic families",,    2.8,"",,"...",,"...",
"Income of economic families in 2020","Total - Income statistics for couple-only economic families in private households - 100% data",, 72300,"",,"...",,"...",
"Income of economic families in 2020","  Median total income of couple-only economic families in 2020 ($)",,106000,"",,"...",,"...",
"Income of economic families in 2020","  Median after-tax income of couple-only economic families in 2020 ($)",, 92000,"",,"...",,"...",
"Income of economic families in 2020","  Average family size of couple-only economic families",,    2.0,"",,"...",,"...",
"Income of economic families in 2020","Total - Income statistics for couple-with-children economic families in private households - 100% data",, 63570,"",,"...",,"...",
